Date,Host,Service,Content
"2026-03-31T19:10:00.442Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:10:00.442Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:10:00.432Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:10:00.391Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:10:00.389Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:10:00.383Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:09:30.153Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:09:30.153Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:09:30.148Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:09:30.116Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:09:30.115Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:09:30.113Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:08:59.898Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:08:59.898Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:08:59.893Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:08:59.879Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:08:59.878Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:08:59.876Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:08:29.686Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:08:29.686Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:08:29.682Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:08:29.659Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:08:29.658Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:08:29.656Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:07:59.464Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:07:59.464Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:07:59.458Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:07:59.442Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:07:59.440Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:07:59.438Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:07:29.095Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:07:29.095Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:07:29.090Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:07:29.074Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:07:29.074Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:07:29.069Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:06:58.870Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:06:58.870Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:06:58.865Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:06:58.846Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:06:58.846Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:06:58.843Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:06:28.652Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:06:28.652Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
